Application name,Purpose,Department,Owner,NDA on File,Authentication Method,Risk,Notes,Soc2,Renewal Date,cost,number of users,Expiration Date,SAML_capable,Has_PII,Application Risk Assesment,Contract
Intuit - QuickBooks,,Finance,maria,,,High,,,,,,,,,,
IT Asset Management,IT Asset Management,IT,IT,,Username/Password,High,https://itam.dfinity.org/password/reset,,,,,,,,,
Klipfolio,,,,,Okta,,,,,,,,,,,
Linkedin - Business,,Comms/Marketing,Lee / Hunte,,,Med,,,,,,,,,,
Linkedin Recruiter Corporate,"Sourcing, outreach, team collaboration, and talent branding",Recruiting,Ryan,,Username/Password,Med,,,,,,,,,,
Lucid Chart,Flow Chart and collaboration,"IT, Legal, Compliance",IT,,Google ,Med,,,,,,,,,,
Lyft,Commute ,All,michael ,,,,,,,,,,,,,
Mailchimp,"Email campaigns, marketing",Comms/Marketing,Lee / Hunte,,username/Password,High,,,,,,,,,,
Meetup,,Comms/Marketing,Lee / Hunte,,username/Password,,,,,,,,,,,
Meraki Admin,Networking,IT,IT,,username/Password,High,Add Bastion IP whitelists,,,,,,,,,
Mergify,CI/CD,Engineering,Engineering,,username/Password,,,,,,,,,,,
Moniker,Upscribe,,,,username/Password,High,,,,,,,,,,
Netlify,Website Platform and CDN for dfinity.org,,Diego/kyle,,,,,,,,,,,,,
Netsuite,ERP,Finance,maria,No,Username/Password,HIgh,,,,,,,,,,
Office365,Document Creation,IT,IT,,Username/Password,,,,,,,,,,,
Okta,Single Sign On,All,michael,,n/a,,,,,,,,,,,
PagerDuty,Page notification,"Eng, IT",IT,,Okta,,,,,,,,,,,
PurelyHR,PTO Management system,HR,Claire,,Username/Password or Google Oauth,HIgh,HRIS solution will negate this need,,,,,,,,,
QBO,Accounting System - LLC (USA),Finance,maria,,Username/Password,,,,,,,,,,,
Reflecktive,OKR,IT,kyle,,Okta,Med,,,,,,,,,,
Rocketchat,,Comms/Marketing,Lee / Hunte,,,,,,,,,,,,,
Sequoia ,Benefits/ Employee Verification,HR,Claire,,Username/Password,High,,,,,,,,,,
Skype,video chat - limited use case,,,,,,,,,,,,,,,
Slack,Chat,All,michael ,,Okta,,,,,,,,,,,
Spotify,Music,All,IT,,,,,,,,,,,,,
StatusHero,Daily Standup,"Eng, IT, Finance",IT,,Okta,,,,,,,,,,,
Trello,,,Tho,,,,,,,,,,,,,
Tri-Net,Xtensio,,HR,,,,,,,,,,,,,
twill,twill.io,,,,,,,,,,,,,,,
Twitter,,Comms/Marketing,Lee / Hunte,,,,,,,,,,,,,
Uber,Commute ,All,,,Username/Password,,,,,,,,,,,
Winbiz,Accounting System - Foundation (Switzerland),Finance,maria,,Username/Password,,Emails as User,,,,,,,,,
YoutubeTV,,,,,,,,,,,,,,,,
Zendesk,,"Engineering, Data Center Services",IT,,Okta,,,,,7.99,50,monthly (per user),,,,
Zoom,Video Conferencing,All,IT,,Username/Password or Google Oauth,,,,,,,monthly (per user),,,,
